text,label
"Prices on the international oil market remain highly volatile, clearly reflecting uncertainties with respect to the real volume of production, speculation regarding demand growth in the northern hemisphere winter season and concerns regarding historically low levels of world stocks of petroleum derivatives.",Negative
"For 2000, projected inflation is just slightly above the median point of the target (6%) due to adverse supply shocks (fuels and foodstuffs) that affected the economy in the second half of the year. However, the effects of these shocks dissipated rapidly and, since the second half of the year. However, the effects of these shocks dissipated rapidly and, since the second half of the year. However, the effects of these shocks dissipated rapidly and, since they are clearly temporary in nature, provoked no significant alterations",Neutral
"Based on simulations performed with the basic scenario, it was concluded that the current level of interest rates at 16.5% per year would make it possible to comply with inflation targets up to 2002.",Positive
"Utilizing the same basis of comparison, imports increased by 13.6%, due mostly to greater outlays on fuels/lubricants and raw materials. In the first case, imports expanded by 57.1% as a result of higher international prices",Neutral
The growth pace of economic activity has remained solid and steady and well within parameters considered compatible with continued price stability.,Positive
"Following a brief peak in previous months, the September decline in inflation further strengthens the thesis that there is a very low degree of inertia in the economy at present",Positive
"The Consumer Confidence Index (ICC) moved upward once again in October, closing at 104.5. This index, which is released by FCESP, registered recovery in both of its main components.",Positive
"The stock levels of these products are considered insufficient, since they were allowed to dwindle as potential buyers initially sought to avoid importing at higher prices.",Negative
"Parallel to this, the prices of the foreign securities of emerging markets, particularly in Latin America, have been marked by increasing volatility, due to a great extent to uncertainties generated by the troubles in the Middle East and by devaluation of the euro.",Negative
"In the United States, the trajectory implicit in futures contracts does not point to any probability of a change in basic interest rates in coming months.",Neutral
"Recently disclosed economic activity indicators suggested that prior to evidences on the electrical energy crisis, the pace of economic growth was already exhibiting signs of deceleration.",Negative
The interest rate curve continued to present variations after the last COPOM meeting in May,Neutral
"The market experienced a relief as a consequence of the announcement of the debt swap in Argentina, immediately contributing to the drop in the premium embedded in the future interest rate in Brazil.",Positive
"Among the owners of federal securities, Financial Investment Funds held approximately 46% of the fixed debt and 52% of Selic-indexed debt. ",Neutral
Financial Investment Funds have changed their portfolios in the past months more significantly compared to financial institutions. ,Neutral
"Since the beginning of April, the participation of LTN in those funds securities portfolios reduced to 12.6% from 18.6%, against a surge in dollar-indexed securities to 17.7% from 14.6% and Selic-indexed securities to 67.4% from 64.9%.",Neutral
"In the external scenario, the persistence of uncertainties is assumed to maintain the Brazil risk premium stable over the next quarters",Negative
"Regarding the electricity shock, results yet preliminary of the modeling efforts point out to a reduction in the economic growth rate this year.",Negative
"The median of market expectations for IPCA inflation, surveyed by the Central Bank on a daily basis, presented the following evolution: for 2001, it was revised upwards from 5.00% to 5.50%, and for 2002, from 3.80% to 3.82%",Neutral
"Another important consequence of the energy crisis is to alter expectations, due to its contribution to domestic political instabilit",Negative
"Inflation measured by the Broad Consumer Price Index – IPCA accumulated 2.42 percentage points up to May. This figure is above expectations as a result of (i) the increase in food prices in the first five months of the year, surprising considering the arrival of the agricultural crop, (ii) the increase in government-managed prices 4.2 percentage points above the model's projections, and (iii) the partial pass through of the exchange rate depreciation",Negative
